"id","name"
"1","GRUPO A - TELEFONISTAS Y DESPACHADORES"
"2","GRUPO B - TELEFONISTAS Y DESPACHADORES"
"3","GRUPO C - TELEFONISTAS Y DESPACHADORES"
"4","GRUPO D - TELEFONISTAS Y DESPACHADORES"
"5","GRUPO E - TELEFONISTAS Y DESPACHADORES"
"6","GRUPO A - OPERADORES DE CAMARAS"
"7","GRUPO B - OPERADORES DE CAMARAS"
"8","GRUPO C - OPERADORES DE CAMARAS"
"9","GRUPO D - OPERADORES DE CAMARAS"
"10","CCVV - COSMOS-SANTA TECLA "
"11","CCVV - SITRAMSS "
"14","G1  4X4 - CCVV SITRAMS "
"15","G2  4X4 - CCVV SITRAMS "
"16","(08:00 A 17:00) - CCVV - COSMOS-SANTA TECLA"
"17","G1- 6X3 - CCVV - COSMOS-SANTA TECLA"
"18","G2 - 6X3- CCVV - COSMOS-SANTA TECLA"
"19","G3 - 6X3 - CCVV - COSMOS-SANTA TECLA"
"20","G1 4X4 - CCVV SITRAMS"
"21","G2 4X4 - CCVV SITRAMS"
"22","ADMINISTRACION VIDEO VIGILANCIA"
"23","TESCNICOS 911"
